Abone_No,Kaçak_Flag,Tarif,TCKN NO,Cinsiyet,Yas,Aile_Risk_Factor,Parch,Sayac_Tip,Toplam_Fatura_Tutari
1,0,3,40765186940,male,22,1,0,A/5 21171,7.25
2,1,1,33096858406,female,38,1,0,PC 17599,71.2833
3,1,3,40781165979,female,26,0,0,STON/O2. 3101282,7.925
4,1,1,42235507245,female,35,1,0,113803,53.1
5,0,3,32411446801,male,35,0,0,373450,8.05
6,0,3,43429933850,male,,0,0,330877,8.4583
7,0,1,25913128447,male,54,0,0,17463,51.8625
8,0,3,42151043156,male,2,3,1,349909,21.075
9,1,3,23021858341,female,27,0,2,347742,11.1333
10,1,2,30370494506,female,14,1,0,237736,30.0708
11,1,3,40239323703,female,4,1,1,PP 9549,16.7
12,1,1,35253130548,female,58,0,0,113783,26.55
13,0,3,44631783301,male,20,0,0,A/5. 2151,8.05
14,0,3,33391313354,male,39,1,5,347082,31.275
15,0,3,34781395139,female,14,0,0,350406,7.8542
16,1,2,31498802466,female,55,0,0,248706,16
17,0,3,23585535570,male,2,4,1,382652,29.125
18,1,2,34411049154,male,,0,0,244373,13
19,0,3,21679170198,female,31,1,0,345763,18
20,1,3,45767190761,female,,0,0,2649,7.225
21,0,2,26537888623,male,35,0,0,239865,26
22,1,2,35799289705,male,34,0,0,248698,13
23,1,3,34710827743,female,15,0,0,330923,8.0292
24,1,1,28993830186,male,28,0,0,113788,35.5
25,0,3,37250894785,female,8,3,1,349909,21.075
26,1,3,40924217368,female,38,1,5,347077,31.3875
27,0,3,38468551804,male,,0,0,2631,7.225
28,0,1,32747852055,male,19,3,2,19950,263
29,1,3,28891048349,female,,0,0,330959,7.8792
30,0,3,30180214002,male,,0,0,349216,7.8958
31,0,1,24301565478,male,40,0,0,PC 17601,27.7208
32,1,1,33605886016,female,,1,0,PC 17569,146.5208
33,1,3,25252079512,female,,0,0,335677,7.75
34,0,2,44699790416,male,66,0,0,C.A. 24579,10.5
35,0,1,31406327535,male,28,1,0,PC 17604,82.1708
36,0,1,41096174208,male,42,1,0,113789,52
37,1,3,21928261161,male,,0,0,2677,7.2292
38,0,3,33249726777,male,21,0,0,A./5. 2152,8.05
39,0,3,33500345409,female,18,2,0,345764,18
40,1,3,22233496190,female,14,1,0,2651,11.2417
41,0,3,41799643622,female,40,1,0,7546,9.475
42,0,2,26500966080,female,27,1,0,11668,21
43,0,3,20415934722,male,,0,0,349253,7.8958
44,1,2,30445050493,female,3,1,2,SC/Paris 2123,41.5792
45,1,3,41550106119,female,19,0,0,330958,7.8792
46,0,3,38670665367,male,,0,0,S.C./A.4. 23567,8.05
47,0,3,44700884876,male,,1,0,370371,15.5
48,1,3,25149778222,female,,0,0,14311,7.75
49,0,3,31947462343,male,,2,0,2662,21.6792
50,0,3,34510834860,female,18,1,0,349237,17.8
51,0,3,25648848382,male,7,4,1,3101295,39.6875
52,0,3,35889427635,male,21,0,0,A/4. 39886,7.8
53,1,1,31333048072,female,49,1,0,PC 17572,76.7292
54,1,2,23934342358,female,29,1,0,2926,26
55,0,1,39324437608,male,65,0,1,113509,61.9792
56,1,1,43378102322,male,,0,0,19947,35.5
57,1,2,34260439604,female,21,0,0,C.A. 31026,10.5
58,0,3,24524727793,male,28.5,0,0,2697,7.2292
59,1,2,22567257878,female,5,1,2,C.A. 34651,27.75
60,0,3,29373242598,male,11,5,2,CA 2144,46.9
61,0,3,21832621808,male,22,0,0,2669,7.2292
62,1,1,21624648802,female,38,0,0,113572,80
63,0,1,38988706500,male,45,1,0,36973,83.475
64,0,3,33760617347,male,4,3,2,347088,27.9
65,0,1,25599099332,male,,0,0,PC 17605,27.7208
66,1,3,37477227392,male,,1,1,2661,15.2458
67,1,2,30505555123,female,29,0,0,C.A. 29395,10.5
68,0,3,23555410295,male,19,0,0,S.P. 3464,8.1583
69,1,3,24473506247,female,17,4,2,3101281,7.925
70,0,3,40120738746,male,26,2,0,315151,8.6625
71,0,2,44942801368,male,32,0,0,C.A. 33111,10.5
72,0,3,38580766954,female,16,5,2,CA 2144,46.9
73,0,2,41626394688,male,21,0,0,S.O.C. 14879,73.5
74,0,3,44320570064,male,26,1,0,2680,14.4542
75,1,3,27699250172,male,32,0,0,1601,56.4958
76,0,3,42740917869,male,25,0,0,348123,7.65
77,0,3,27432172839,male,,0,0,349208,7.8958
78,0,3,26266719130,male,,0,0,374746,8.05
79,1,2,45068364973,male,0.83,0,2,248738,29
80,1,3,45536935644,female,30,0,0,364516,12.475
81,0,3,38782879891,male,22,0,0,345767,9
82,1,3,27632996605,male,29,0,0,345779,9.5
83,1,3,33087776692,female,,0,0,330932,7.7875
84,0,1,21701894907,male,28,0,0,113059,47.1
85,1,2,36238408999,female,17,0,0,SO/C 14885,10.5
86,1,3,34458512665,female,33,3,0,3101278,15.85
87,0,3,39377548094,male,16,1,3,W./C. 6608,34.375
88,0,3,40477032691,male,,0,0,SOTON/OQ 392086,8.05
89,1,1,20730340524,female,23,3,2,19950,263
90,0,3,37837731761,male,24,0,0,343275,8.05
91,0,3,38160263093,male,29,0,0,343276,8.05
92,0,3,39411311973,male,20,0,0,347466,7.8542
93,0,1,40191558060,male,46,1,0,W.E.P. 5734,61.175
94,0,3,35276059719,male,26,1,2,C.A. 2315,20.575
95,0,3,29506994705,male,59,0,0,364500,7.25
96,0,3,39428216995,male,,0,0,374910,8.05
97,0,1,22218589186,male,71,0,0,PC 17754,34.6542
98,1,1,26135952800,male,23,0,1,PC 17759,63.3583
99,1,2,27168617560,female,34,0,1,231919,23
100,0,2,41779835437,male,34,1,0,244367,26
101,0,3,45001799111,female,28,0,0,349245,7.8958
102,0,3,30267249730,male,,0,0,349215,7.8958
103,0,1,44126403496,male,21,0,1,35281,77.2875
104,0,3,37487796567,male,33,0,0,7540,8.6542
105,0,3,35052294611,male,37,2,0,3101276,7.925
106,0,3,22344150028,male,28,0,0,349207,7.8958
107,1,3,35196032819,female,21,0,0,343120,7.65
108,1,3,32837828264,male,,0,0,312991,7.775
109,0,3,31554554118,male,38,0,0,349249,7.8958
110,1,3,41027369842,female,,1,0,371110,24.15
111,0,1,33849056627,male,47,0,0,110465,52
112,0,3,39966684359,female,14.5,1,0,2665,14.4542
113,0,3,41028268993,male,22,0,0,324669,8.05
114,0,3,27572390604,female,20,1,0,4136,9.825
115,0,3,20040448804,female,17,0,0,2627,14.4583
116,0,3,39631428953,male,21,0,0,STON/O 2. 3101294,7.925
117,0,3,23222525302,male,70.5,0,0,370369,7.75
118,0,2,43547965623,male,29,1,0,11668,21
119,0,1,36410952009,male,24,0,1,PC 17558,247.5208
120,0,3,44183238416,female,2,4,2,347082,31.275
121,0,2,23174123155,male,21,2,0,S.O.C. 14879,73.5
122,0,3,30484620923,male,,0,0,A4. 54510,8.05
123,0,2,26658005416,male,32.5,1,0,237736,30.0708
124,1,2,25786839675,female,32.5,0,0,27267,13
125,0,1,41681157912,male,54,0,1,35281,77.2875
126,1,3,39798534293,male,12,1,0,2651,11.2417
127,0,3,44861728911,male,,0,0,370372,7.75
128,1,3,32655487270,male,24,0,0,C 17369,7.1417
129,1,3,42534012397,female,,1,1,2668,22.3583
130,0,3,22711758362,male,45,0,0,347061,6.975
131,0,3,28561132236,male,33,0,0,349241,7.8958
132,0,3,43713504259,male,20,0,0,SOTON/O.Q. 3101307,7.05
133,0,3,20284105953,female,47,1,0,A/5. 3337,14.5
134,1,2,44095652265,female,29,1,0,228414,26
135,0,2,38950784158,male,25,0,0,C.A. 29178,13
136,0,2,26682073057,male,23,0,0,SC/PARIS 2133,15.0458
137,1,1,25771371205,female,19,0,2,11752,26.2833
138,0,1,32132181178,male,37,1,0,113803,53.1
139,0,3,43426415679,male,16,0,0,7534,9.2167
140,0,1,21191615810,male,24,0,0,PC 17593,79.2
141,0,3,20316940224,female,,0,2,2678,15.2458
142,1,3,33540788441,female,22,0,0,347081,7.75
143,1,3,20758930551,female,24,1,0,STON/O2. 3101279,15.85
144,0,3,22742891098,male,19,0,0,365222,6.75
145,0,2,24151338869,male,18,0,0,231945,11.5
146,0,2,39525831127,male,19,1,1,C.A. 33112,36.75
147,1,3,20432751592,male,27,0,0,350043,7.7958
148,0,3,30271944135,female,9,2,2,W./C. 6608,34.375
149,0,2,42386477355,male,36.5,0,2,230080,26
150,0,2,44140622832,male,42,0,0,244310,13
151,0,2,34334799129,male,51,0,0,S.O.P. 1166,12.525
152,1,1,40342277769,female,22,1,0,113776,66.6
153,0,3,30112793519,male,55.5,0,0,A.5. 11206,8.05
154,0,3,25937552832,male,40.5,0,2,A/5. 851,14.5
155,0,3,20073823059,male,,0,0,Fa 265302,7.3125
156,0,1,30383946468,male,51,0,1,PC 17597,61.3792
157,1,3,26260874295,female,16,0,0,35851,7.7333
158,0,3,28896162282,male,30,0,0,SOTON/OQ 392090,8.05
159,0,3,39455925518,male,,0,0,315037,8.6625
160,0,3,41880593920,male,,8,2,CA. 2343,69.55
161,0,3,35897623368,male,44,0,1,371362,16.1
162,1,2,37467430215,female,40,0,0,C.A. 33595,15.75
163,0,3,26608063422,male,26,0,0,347068,7.775
164,0,3,23206994976,male,17,0,0,315093,8.6625
165,0,3,37987281465,male,1,4,1,3101295,39.6875
166,1,3,44305173234,male,9,0,2,363291,20.525
167,1,1,37539202005,female,,0,1,113505,55
168,0,3,25420782930,female,45,1,4,347088,27.9
169,0,1,41271166879,male,,0,0,PC 17318,25.925
170,0,3,20672680566,male,28,0,0,1601,56.4958
171,0,1,34889580706,male,61,0,0,111240,33.5
172,0,3,36709056506,male,4,4,1,382652,29.125
173,1,3,30930920249,female,1,1,1,347742,11.1333
174,0,3,25782341175,male,21,0,0,STON/O 2. 3101280,7.925
175,0,1,31664865196,male,56,0,0,17764,30.6958
176,0,3,32018047637,male,18,1,1,350404,7.8542
177,0,3,33833182450,male,,3,1,4133,25.4667
178,0,1,36262750107,female,50,0,0,PC 17595,28.7125
179,0,2,36940603186,male,30,0,0,250653,13
180,0,3,33083076839,male,36,0,0,LINE,0
181,0,3,38659670462,female,,8,2,CA. 2343,69.55
182,0,2,21726482647,male,,0,0,SC/PARIS 2131,15.05
183,0,3,37275387500,male,9,4,2,347077,31.3875
184,1,2,22822922129,male,1,2,1,230136,39
185,1,3,44608947530,female,4,0,2,315153,22.025
186,0,1,44987492527,male,,0,0,113767,50
187,1,3,23207464241,female,,1,0,370365,15.5
188,1,1,22349902229,male,45,0,0,111428,26.55
189,0,3,42910587589,male,40,1,1,364849,15.5
190,0,3,28445781944,male,36,0,0,349247,7.8958
191,1,2,35896734175,female,32,0,0,234604,13
192,0,2,30891734323,male,19,0,0,28424,13
193,1,3,44445637530,female,19,1,0,350046,7.8542
194,1,2,21435478557,male,3,1,1,230080,26
195,1,1,32002936024,female,44,0,0,PC 17610,27.7208
196,1,1,26180692751,female,58,0,0,PC 17569,146.5208
197,0,3,22746395867,male,,0,0,368703,7.75
198,0,3,37727961455,male,42,0,1,4579,8.4042
199,1,3,33965989417,female,,0,0,370370,7.75
200,0,2,27580075319,female,24,0,0,248747,13
201,0,3,42705188043,male,28,0,0,345770,9.5
202,0,3,44498443068,male,,8,2,CA. 2343,69.55
203,0,3,35869372087,male,34,0,0,3101264,6.4958
204,0,3,43459709228,male,45.5,0,0,2628,7.225
205,1,3,35754335941,male,18,0,0,A/5 3540,8.05
206,0,3,36031654656,female,2,0,1,347054,10.4625
207,0,3,30263414831,male,32,1,0,3101278,15.85
208,1,3,35453433808,male,26,0,0,2699,18.7875
209,1,3,33125748745,female,16,0,0,367231,7.75
210,1,1,28931413576,male,40,0,0,112277,31
211,0,3,26571939835,male,24,0,0,SOTON/O.Q. 3101311,7.05
